Depth [m],0.0,1.0,2.5,5.0,10.0,15.0,20.0,25.0,30.0,40.0,50.0,75.0,100.0,150.0,200.0,250.0,300.0,350.0,400.0,450.0,500.0,750.0,1000.0,1250.0,1500.0,Worst case
75.0,0.61,0.61,0.61,0.62,0.63,0.63,0.64,0.64,0.65,0.67,0.7,0.77,0.73,0.69,0.67,0.65,0.61,0.57,0.52,0.46,0.39,0.25,0.23,0.23,0.23,0.77
100.0,0.54,0.54,0.54,0.55,0.56,0.56,0.56,0.57,0.58,0.6,0.62,0.7,0.73,0.71,0.69,0.67,0.63,0.58,0.52,0.46,0.37,0.23,0.22,0.22,0.22,0.73
150.0,0.48,0.48,0.49,0.49,0.5,0.5,0.5,0.51,0.51,0.53,0.56,0.63,0.67,0.72,0.71,0.69,0.65,0.59,0.53,0.45,0.37,0.22,0.22,0.22,0.22,0.72
200.0,0.44,0.44,0.45,0.45,0.45,0.46,0.46,0.46,0.47,0.48,0.51,0.57,0.61,0.67,0.69,0.68,0.64,0.58,0.52,0.45,0.36,0.21,0.21,0.21,0.21,0.69
250.0,0.4,0.4,0.4,0.41,0.41,0.41,0.42,0.42,0.42,0.44,0.46,0.52,0.56,0.61,0.64,0.67,0.64,0.58,0.51,0.44,0.36,0.21,0.2,0.2,0.2,0.67
300.0,0.36,0.36,0.36,0.36,0.36,0.37,0.37,0.37,0.37,0.39,0.41,0.46,0.49,0.53,0.56,0.59,0.62,0.58,0.52,0.44,0.36,0.2,0.19,0.19,0.19,0.62
350.0,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.32,0.32,0.33,0.35,0.39,0.41,0.45,0.47,0.5,0.54,0.57,0.54,0.46,0.37,0.2,0.19,0.19,0.18,0.57
400.0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.27,0.27,0.28,0.29,0.32,0.34,0.36,0.38,0.4,0.43,0.48,0.52,0.48,0.4,0.22,0.19,0.18,0.18,0.52
450.0,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.23,0.24,0.27,0.27,0.29,0.3,0.31,0.34,0.38,0.44,0.48,0.44,0.24,0.2,0.19,0.18,0.48
500.0,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.22,0.22,0.23,0.24,0.25,0.27,0.3,0.35,0.43,0.45,0.27,0.21,0.2,0.19,0.45
750.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12,0.11,0.11,0.11,0.12,0.12,0.13,0.16,0.19,0.22,0.37,0.32,0.3,0.29,0.37
1000.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.11,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.16,0.18,0.34,0.39,0.38,0.37,0.39
1250.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.12,0.12,0.13,0.12,0.13,0.13,0.13,0.15,0.16,0.18,0.33,0.4,0.41,0.4,0.41
1500.0,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.15,0.16,0.18,0.33,0.4,0.41,0.42,0.42
